route,route_name,stop_seq,stop,lat,lon,date,hour,is_peak,passengers,traffic,speed,delay,buses,wait_time,new_wait,load,new_load,overcrowded,new_overcrowded,seg_dist,cum_dist,travel_time,cum_travel_time,efficiency,total_buses_on_route,action,growth,rank,alert,alt_route
R1,Sitabuldi to Hingna MIDC,1,Sitabuldi Bus Terminal,21.1414478,79.0824843,2025-04-01,7,0,43,Low,33.4,3,1,5,5.0,0.72,0.72,0,0,0.0,0.0,0.0,0.0,11.13,4,Normal,0.0,45.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,2,RBI Square / Variety Square,21.146596600000002,79.08227155,2025-04-01,7,0,50,High,18.6,13,3,5,1.7,0.83,0.28,0,0,0.573,0.573,1.85,1.85,1.43,4,Normal,0.163,38.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,3,Morris College T-Point,21.1517454,79.0820588,2025-04-01,7,0,29,Moderate,27.2,7,2,5,2.5,0.48,0.24,0,0,0.573,1.146,1.26,3.11,3.89,4,Normal,-0.42,59.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,4,Jhansi Rani Square,21.141582399999997,79.06463595,2025-04-01,7,0,51,High,15.7,15,2,5,2.5,0.85,0.42,0,0,2.131,3.277,8.14,11.25,1.05,4,Normal,0.759,37.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,5,Dharampeth College,21.1314194,79.0472131,2025-04-01,7,0,38,Moderate,22.1,3,1,5,5.0,0.63,0.63,0,0,2.131,5.408,5.79,17.04,7.37,4,Normal,-0.255,50.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,6,Dharampeth,21.1409684,79.0624344,2025-04-01,7,0,35,Low,36.5,1,1,5,5.0,0.58,0.58,0,0,1.903,7.311,3.13,20.17,36.5,4,Normal,-0.079,53.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,7,Law College Square,21.1468151,79.0618908,2025-04-01,7,0,39,Low,36.9,3,1,5,5.0,0.65,0.65,0,0,0.653,7.964,1.06,21.23,12.3,4,Normal,0.114,49.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,8,Ambazari Lake,21.1286919,79.0457448,2025-04-01,7,0,37,Low,30.8,0,3,5,1.7,0.62,0.21,0,0,2.62,10.584,5.1,26.33,30.8,4,Normal,-0.051,51.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,9,VNIT Main Gate,21.1260843,79.0497523,2025-04-01,7,0,38,Low,32.9,0,2,5,2.5,0.63,0.32,0,0,0.507,11.091,0.92,27.25,32.9,4,Normal,0.027,50.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,10,Bajaj Nagar,21.1275893,79.0615901,2025-04-01,7,0,31,Moderate,20.7,3,2,5,2.5,0.52,0.26,0,0,1.239,12.33,3.59,30.84,6.9,4,Normal,-0.184,57.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,11,Laxmi Nagar,21.1254686,79.0639778,2025-04-01,7,0,36,Low,38.1,2,1,5,5.0,0.6,0.6,0,0,0.342,12.672,0.54,31.38,19.05,4,Normal,0.161,52.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,12,Subhash Nagar,21.1233162,79.0420532,2025-04-01,7,0,34,Moderate,21.2,7,3,5,1.7,0.57,0.19,0,0,2.287,14.959,6.47,37.85,3.03,4,Normal,-0.056,54.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,13,Wadi T-Point,21.1491394,78.9777061,2025-04-01,7,0,32,Moderate,21.4,7,2,5,2.5,0.53,0.27,0,0,7.265,22.224,20.37,58.22,3.06,4,Normal,-0.059,56.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,14,Hingna T-Point,21.1230151,79.0378219,2025-04-01,7,0,31,Low,30.2,2,1,5,5.0,0.52,0.52,0,0,6.878,29.102,13.66,71.88,15.1,4,Normal,-0.031,57.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,15,Hingna Village,21.0751769,78.9683723,2025-04-01,7,0,37,Low,36.6,2,1,5,5.0,0.62,0.62,0,0,8.956,38.058,14.68,86.56,18.3,4,Normal,0.194,51.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,16,Hingna MIDC Gate,21.1100984,78.9908833,2025-04-01,7,0,49,Low,37.6,3,1,5,5.0,0.82,0.82,0,0,4.531,42.589,7.23,93.79,12.53,4,Normal,0.324,39.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,17,Hingna MIDC Phase 1,21.1100984,78.9908833,2025-04-01,7,0,44,Moderate,23.1,5,1,5,5.0,0.73,0.73,0,0,0.0,42.589,0.0,93.79,4.62,4,Normal,-0.102,44.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,18,Hingna MIDC Phase 2,21.1100984,78.9908833,2025-04-01,7,0,41,Moderate,23.3,3,2,5,2.5,0.68,0.34,0,0,0.0,42.589,0.0,93.79,7.77,4,Normal,-0.068,47.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,19,Hingna MIDC Bus Stop (Final),21.1100984,78.9908833,2025-04-01,7,0,49,High,16.0,9,1,5,5.0,0.82,0.82,0,0,0.0,42.589,0.0,93.79,1.78,4,Normal,0.195,39.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,1,Sitabuldi Bus Terminal,21.1414478,79.0824843,2025-04-01,8,1,80,Very High,9.0,28,2,10,5.0,1.2,0.67,1,0,0.0,0.0,0.0,0.0,0.32,4,Add Bus,0.633,8.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,2,RBI Square / Variety Square,21.146596600000002,79.08227155,2025-04-01,8,1,68,Very High,8.3,26,3,10,3.3,1.13,0.38,1,0,0.573,0.573,4.14,4.14,0.32,4,Add Bus,-0.15,20.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,3,Morris College T-Point,21.1517454,79.0820588,2025-04-01,8,1,52,High,17.4,14,2,10,5.0,0.87,0.43,0,0,0.573,1.146,1.98,6.12,1.24,4,Normal,-0.235,36.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,4,Jhansi Rani Square,21.141582399999997,79.06463595,2025-04-01,8,1,66,Very High,12.2,20,2,10,5.0,1.1,0.55,1,0,2.131,3.277,10.48,16.6,0.61,4,Add Bus,0.269,22.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,5,Dharampeth College,21.1314194,79.0472131,2025-04-01,8,1,54,High,19.0,12,2,10,5.0,0.9,0.45,0,0,2.131,5.408,6.73,23.33,1.58,4,Normal,-0.182,34.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,6,Dharampeth,21.1409684,79.0624344,2025-04-01,8,1,61,Very High,13.0,19,3,10,3.3,1.02,0.34,1,0,1.903,7.311,8.78,32.11,0.68,4,Add Bus,0.13,27.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,7,Law College Square,21.1468151,79.0618908,2025-04-01,8,1,56,Very High,8.3,28,3,10,3.3,0.93,0.31,0,0,0.653,7.964,4.72,36.83,0.3,4,Reroute,-0.082,32.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,8,Ambazari Lake,21.1286919,79.0457448,2025-04-01,8,1,48,High,13.5,17,2,10,5.0,0.8,0.4,0,0,2.62,10.584,11.64,48.47,0.79,4,Increase Frequency,-0.143,40.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,9,VNIT Main Gate,21.1260843,79.0497523,2025-04-01,8,1,56,Very High,9.0,25,3,10,3.3,0.93,0.31,0,0,0.507,11.091,3.38,51.85,0.36,4,Reroute,0.167,32.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,10,Bajaj Nagar,21.1275893,79.0615901,2025-04-01,8,1,48,Very High,12.1,21,3,10,3.3,0.8,0.27,0,0,1.239,12.33,6.14,57.99,0.58,4,Reroute,-0.143,40.0,Seats Available,Use R3
R1,Sitabuldi to Hingna MIDC,11,Laxmi Nagar,21.1254686,79.0639778,2025-04-01,8,1,49,Very High,8.9,23,2,10,5.0,0.82,0.41,0,0,0.342,12.672,2.31,60.3,0.39,4,Reroute,0.021,39.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,12,Subhash Nagar,21.1233162,79.0420532,2025-04-01,8,1,56,Very High,13.5,17,3,10,3.3,0.93,0.31,0,0,2.287,14.959,10.16,70.46,0.79,4,Reroute,0.143,32.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,13,Wadi T-Point,21.1491394,78.9777061,2025-04-01,8,1,52,Very High,14.2,16,2,10,5.0,0.87,0.43,0,0,7.265,22.224,30.7,101.16,0.89,4,Reroute,-0.071,36.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,14,Hingna T-Point,21.1230151,79.0378219,2025-04-01,8,1,57,Very High,12.2,26,2,10,5.0,0.95,0.48,0,0,6.878,29.102,33.83,134.99,0.47,4,Reroute,0.096,31.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,15,Hingna Village,21.0751769,78.9683723,2025-04-01,8,1,50,High,15.4,11,4,10,2.5,0.83,0.21,0,0,8.956,38.058,34.89,169.88,1.4,4,Normal,-0.123,38.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,16,Hingna MIDC Gate,21.1100984,78.9908833,2025-04-01,8,1,66,High,14.1,18,4,10,2.5,1.1,0.28,1,0,4.531,42.589,19.28,189.16,0.78,4,Add Bus,0.32,22.0,Bus Full,Same Route
R1,Sitabuldi to Hingna MIDC,17,Hingna MIDC Phase 1,21.1100984,78.9908833,2025-04-01,8,1,78,Very High,8.7,15,4,10,2.5,1.2,0.32,1,0,0.0,42.589,0.0,189.16,0.58,4,Add Bus,0.182,10.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,18,Hingna MIDC Phase 2,21.1100984,78.9908833,2025-04-01,8,1,68,Very High,13.0,25,2,10,5.0,1.13,0.57,1,0,0.0,42.589,0.0,189.16,0.52,4,Add Bus,-0.128,20.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,19,Hingna MIDC Bus Stop (Final),21.1100984,78.9908833,2025-04-01,8,1,67,High,15.7,14,2,10,5.0,1.12,0.56,1,0,0.0,42.589,0.0,189.16,1.12,4,Add Bus,-0.015,21.0,Bus Full,Same Route
R1,Sitabuldi to Hingna MIDC,1,Sitabuldi Bus Terminal,21.1414478,79.0824843,2025-04-01,9,1,63,Very High,11.1,23,3,10,3.3,1.05,0.35,1,0,0.0,0.0,0.0,0.0,0.48,4,Add Bus,-0.06,25.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,2,RBI Square / Variety Square,21.146596600000002,79.08227155,2025-04-01,9,1,69,High,14.9,10,3,10,3.3,1.15,0.38,1,0,0.573,0.573,2.31,2.31,1.49,4,Add Bus,0.095,19.0,Bus Full,Same Route
R1,Sitabuldi to Hingna MIDC,3,Morris College T-Point,21.1517454,79.0820588,2025-04-01,9,1,55,Very High,11.3,23,2,10,5.0,0.92,0.46,0,0,0.573,1.146,3.04,5.35,0.49,4,Reroute,-0.203,33.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,4,Jhansi Rani Square,21.141582399999997,79.06463595,2025-04-01,9,1,63,Very High,9.2,18,3,10,3.3,1.05,0.35,1,0,2.131,3.277,13.9,19.25,0.51,4,Add Bus,0.145,25.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,5,Dharampeth College,21.1314194,79.0472131,2025-04-01,9,1,56,High,13.3,15,2,10,5.0,0.93,0.47,0,0,2.131,5.408,9.61,28.86,0.89,4,Normal,-0.111,32.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,6,Dharampeth,21.1409684,79.0624344,2025-04-01,9,1,56,High,13.4,14,4,10,2.5,0.93,0.23,0,0,1.903,7.311,8.52,37.38,0.96,4,Normal,0.0,32.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,7,Law College Square,21.1468151,79.0618908,2025-04-01,9,1,56,Very High,13.9,17,2,10,5.0,0.93,0.47,0,0,0.653,7.964,2.82,40.2,0.82,4,Reroute,0.0,32.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,8,Ambazari Lake,21.1286919,79.0457448,2025-04-01,9,1,58,Very High,11.1,22,3,10,3.3,0.97,0.32,0,0,2.62,10.584,14.16,54.36,0.5,4,Reroute,0.036,30.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,9,VNIT Main Gate,21.1260843,79.0497523,2025-04-01,9,1,50,High,13.9,14,2,10,5.0,0.83,0.42,0,0,0.507,11.091,2.19,56.55,0.99,4,Normal,-0.138,38.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,10,Bajaj Nagar,21.1275893,79.0615901,2025-04-01,9,1,50,High,16.2,15,3,10,3.3,0.83,0.28,0,0,1.239,12.33,4.59,61.14,1.08,4,Normal,0.0,38.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,11,Laxmi Nagar,21.1254686,79.0639778,2025-04-01,9,1,52,High,13.9,12,3,10,3.3,0.87,0.29,0,0,0.342,12.672,1.48,62.62,1.16,4,Normal,0.04,36.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,12,Subhash Nagar,21.1233162,79.0420532,2025-04-01,9,1,55,Very High,12.7,16,2,10,5.0,0.92,0.46,0,0,2.287,14.959,10.8,73.42,0.79,4,Reroute,0.058,33.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,13,Wadi T-Point,21.1491394,78.9777061,2025-04-01,9,1,50,Very High,11.3,16,4,10,2.5,0.83,0.21,0,0,7.265,22.224,38.58,112.0,0.71,4,Reroute,-0.091,38.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,14,Hingna T-Point,21.1230151,79.0378219,2025-04-01,9,1,54,Very High,9.9,19,3,10,3.3,0.9,0.3,0,0,6.878,29.102,41.68,153.68,0.52,4,Reroute,0.08,34.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,15,Hingna Village,21.0751769,78.9683723,2025-04-01,9,1,51,Very High,14.2,21,4,10,2.5,0.85,0.21,0,0,8.956,38.058,37.84,191.52,0.68,4,Reroute,-0.056,37.0,Almost Full,Use R3
R1,Sitabuldi to Hingna MIDC,16,Hingna MIDC Gate,21.1100984,78.9908833,2025-04-01,9,1,79,Very High,11.4,23,4,10,2.5,1.2,0.33,1,0,4.531,42.589,23.85,215.37,0.5,4,Add Bus,0.549,9.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,17,Hingna MIDC Phase 1,21.1100984,78.9908833,2025-04-01,9,1,68,High,14.2,14,3,10,3.3,1.13,0.38,1,0,0.0,42.589,0.0,215.37,1.01,4,Add Bus,-0.139,20.0,Bus Full,Same Route
R1,Sitabuldi to Hingna MIDC,18,Hingna MIDC Phase 2,21.1100984,78.9908833,2025-04-01,9,1,68,High,17.2,16,4,10,2.5,1.13,0.28,1,0,0.0,42.589,0.0,215.37,1.08,4,Add Bus,0.0,20.0,Bus Full,Same Route
R1,Sitabuldi to Hingna MIDC,19,Hingna MIDC Bus Stop (Final),21.1100984,78.9908833,2025-04-01,9,1,69,Very High,9.8,16,2,10,5.0,1.15,0.57,1,0,0.0,42.589,0.0,215.37,0.61,4,Add Bus,0.015,19.0,Bus Full,Use R3
R1,Sitabuldi to Hingna MIDC,1,Sitabuldi Bus Terminal,21.1414478,79.0824843,2025-04-01,12,0,40,Moderate,25.0,5,1,5,5.0,0.67,0.67,0,0,0.0,0.0,0.0,0.0,5.0,4,Normal,-0.42,48.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,2,RBI Square / Variety Square,21.146596600000002,79.08227155,2025-04-01,12,0,49,Moderate,25.4,7,1,5,5.0,0.82,0.82,0,0,0.573,0.573,1.35,1.35,3.63,4,Normal,0.225,39.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,3,Morris College T-Point,21.1517454,79.0820588,2025-04-01,12,0,31,Low,36.4,0,1,5,5.0,0.52,0.52,0,0,0.573,1.146,0.94,2.29,36.4,4,Normal,-0.367,57.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,4,Jhansi Rani Square,21.141582399999997,79.06463595,2025-04-01,12,0,49,Moderate,27.4,3,1,5,5.0,0.82,0.82,0,0,2.131,3.277,4.67,6.96,9.13,4,Normal,0.581,39.0,Almost Full,Same Route
R1,Sitabuldi to Hingna MIDC,5,Dharampeth College,21.1314194,79.0472131,2025-04-01,12,0,37,Moderate,24.6,7,1,5,5.0,0.62,0.62,0,0,2.131,5.408,5.2,12.16,3.51,4,Normal,-0.245,51.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,6,Dharampeth,21.1409684,79.0624344,2025-04-01,12,0,36,Low,30.8,0,2,5,2.5,0.6,0.3,0,0,1.903,7.311,3.71,15.87,30.8,4,Normal,-0.027,52.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,7,Law College Square,21.1468151,79.0618908,2025-04-01,12,0,38,Moderate,24.5,6,1,5,5.0,0.63,0.63,0,0,0.653,7.964,1.6,17.47,4.08,4,Normal,0.056,50.0,Seats Available,Same Route
R1,Sitabuldi to Hingna MIDC,8,Ambazari Lake,21.1286919,79.0457448,2025-04-01,12,0,31,Moderate,25.8,4,1,5,5.0,0.52,0.52,0,0,2.62,10.584,6.09,23.56,6.45,4,Normal,-0.184,57.0,Seats Available,Same Route
